"CONC";"DAY";"REP"
"0.27";"1";"1"
"0.22";"1";"2"
"0.21";"1";"3"
"0.31";"2";"4"
"0.23";"2";"5"
"0.23";"2";"6"
"0.25";"3";"7"
"0.24";"3";"8"
"0.25";"3";"9"
"0.17";"4";"10"
"0.15";"4";"11"
"0.18";"4";"12"
"0.20";"5";"13"
"0.25";"5";"14"
"0.22";"5";"15"
"0.26";"6";"16"
"0.22";"6";"17"
"0.23";"6";"18"
"0.24";"7";"19"
"0.26";"7";"20"
"0.25";"7";"21"
"0.23";"8";"22"
"0.27";"8";"23"
"0.28";"8";"24"
