TTD TANK PPT WETWT STDLGTH
48  4 13.2 0.066 1.5
48  4 13.2 0.072 1.6
48  4 13.2 0.078 1.5
48  5 11.6 0.097 1.9
48  5 11.6 0.093 1.7
48  5 11.6 0.065 1.6
48  6 11.6 0.063 1.5
48  6 11.6 0.085 1.7
48  6 11.6 0.074 1.5
48  6 11.6 0.085 1.6
48  6 11.6 0.082 1.6
48  7 10.8 0.075 1.6
48  7 10.8 0.067 1.6
48  7 10.8 0.056 1.5
48  8 10.8 0.049 1.5
48  8 10.8 0.051 1.4
48  8 10.8 0.076 1.6
48  9 10.3 0.094 1.8
48 10 10.3 0.109 1.9
48 10 10.3 0.063 1.5
48 10 10.3 0.080 1.7
48 10 10.3 0.057 1.3
56  3 13.2 0.078 1.7
56  3 13.2 0.122 1.8
56  3 13.2 0.062 1.5
56  3 13.2 0.101 1.7
56  3 13.2 0.104 1.8  
56  3 13.2 0.082 1.6
56  3 13.2 0.127 1.8
56  3 13.2 0.215 2.1
56  3 13.2 0.088 1.8
56  4 13.2 0.092 1.7
56  4 13.2 0.122 1.9
56  5 11.6 0.066 1.5
56  5 11.6 0.089 1.8
56  5 11.6 0.101 1.8
56  6 11.6 0.079 1.7
56  6 11.6 0.082 1.7
56  6 11.6 0.061 1.4
56  6 11.6 0.104 1.8
56  6 11.6 0.067 1.4
56  6 11.6 0.083 1.2
56  7 10.8 0.063 1.5
56  8 10.8 0.071 1.5
56  9 10.3 0.075 1.6
56  9 10.3 0.123 1.9
64  3 13.2 0.046 1.7
64  3 13.2 0.059 1.6
64  3 13.2 0.042 1.4
64  3 13.2 0.030 1.6
64  3 13.2 0.056 1.7
64  4 13.2 0.039 1.6
64  4 13.2 0.045 1.6
64  4 13.2 0.129 2.3
64  4 13.2 0.049 1.3
64  4 13.2 0.086 1.9
64  5 11.6 0.054 1.8
64  5 11.6 0.047 1.7
64  5 11.6 0.030 1.4
64  6 11.6 0.046 1.5
64  7 10.8 0.053 1.7
64  7 10.8 0.087 2.0
64  8 10.8 0.040 1.4
64  8 10.8 0.039 1.5
64  8 10.8 0.041 1.4
64 10 10.3 0.041 1.4
64 10 10.3 0.035 1.3
72  3 13.2 0.048 1.6
72  3 13.2 0.080 1.9
72  3 13.2 0.075 1.8
72  4 13.2 0.117 2.2
72  4 13.2 0.152 2.3
72  5 11.6 0.058 1.4
72  5 11.6 0.076 1.7
72  5 11.6 0.062 1.5
72  5 11.6 0.103 1.8
72  5 11.6 0.075 1.5
72  6 11.6 0.090 1.8
72  6 11.6 0.053 1.5
72  7 10.8 0.063 1.7
72  7 10.8 0.094 1.9
72  8 10.8 0.050 1.3  
72  9 10.3 0.110 2.0
72 10 10.3 0.066 1.6
72 10 10.3 0.064 1.5
72 10 10.3 0.086 1.7
80  3 13.2 0.102 1.6
80  3 13.2 0.184 2.2
80  3 13.2 0.090 1.8
80  4 13.2 0.104 1.8
80  4 13.2 0.352 2.5
80  4 13.2 0.121 1.9
80  6 11.6 0.103 1.7
80  6 11.6 0.296 2.4
80  9 10.3 0.087 1.6
88  3 13.2          
88  3 13.2          
88  3 13.2          
88  4 13.2          
88  5 11.6          
88  5 11.6          
88  6 11.6          
88  9 10.3          
88 10 10.3          
96  3 13.2          
96  5 11.6          
96  5 11.6          
96  6 11.6          
96  6 11.6          
96  7 10.8          
96  7 10.8          
96  8 10.8          
96  8 10.8          
96 10 10.3          
97  3 13.2 0.095 1.8
97  3 13.2 0.116 1.9
97  3 13.2 0.133 2.2
97  3 13.2          
97  4 13.2 0.024 1.3
97  4 13.2 0.345 2.8
97  4 13.2          
97  5 11.6 0.052 1.5
97  5 11.6 0.062 1.4
