"SO4"
"1.3"
"2.3"
"2.6"
"3.3"
"3.5"
"3.5"
"3.6"
"4.0"
"4.1"
"4.5"
"5.2"
"5.6"
"5.7"
"6.1"
"6.2"
"6.5"
"6.9"
"7.1"
"7.7"
"7.9"
"9.9"
