"ARC";"CONC"
"1.4120";"0"
"1.4120";"0"
"1.2490";"0"
"1.2490";"0"
"1.1071";"32"
"1.1071";"32"
"1.4120";"32"
"1.1071";"32"
"1.2490";"64"
"1.4120";"64"
"1.4120";"64"
"1.4120";"64"
"1.2490";"128"
"1.2490";"128"
"1.1071";"128"
"1.4120";"128"
"0.9912";"256"
"1.2490";"256"
"1.4120";"256"
"0.7854";"256"
"0.6847";"512"
"0.5796";"512"
"0.6847";"512"
"0.4636";"512"
